576 6 163 ; 38 99 45 ; 257 574 119 ; 730 356 79 ; 900 920 162 ; 
13 212 238 ; 573 18 433 ; 322 501 393 ; 108 668 112 ; 523 148 342 ; 
536 1002 324 ; 7 395 297 ; 516 13 75 ; 782 920 362 ; 514 521 454 ; 
727 83 401 ; 745 332 454 ; 222 721 436 ; 891 221 122 ; 15 319 266 ; 
1018 864 442 ; 389 801 154 ; 402 457 230 ; 298 835 498 ; 819 313 76 ; 
902 602 446 ; 210 904 13 ; 931 756 183 ; 128 931 13 ; 448 189 416 ; 
288 995 108 ; 65 290 182 ; 522 616 67 ; 333 434 481 ; 646 10 363 ; 
224 100 331 ; 105 918 417 ; 861 433 112 ; 768 170 307 ; 958 799 468 ; 
929 419 436 ; 195 33 388 ; 811 36 269 ; 221 441 8 ; 231 120 317 ; 
332 619 4 ; 226 997 116 ; 659 561 461 ; 829 32 475 ; 604 656 279 ; 
1023 704 141 ; 32 16 207 ; 68 418 426 ; 509 318 438 ; 630 551 35 ; 
225 407 147 ; 198 488 219 ; 759 673 469 ; 792 696 80 ; 424 464 213 ; 
105 165 342 ; 121 796 73 ; 539 599 238 ; 857 189 254 ; 385 0 456 ; 
792 43 410 ; 256 418 243 ; 930 1019 78 ; 602 231 377 ; 42 273 97 ; 
208 919 410 ; 1004 540 251 ; 579 194 360 ; 768 941 304 ; 769 149 145 ; 
812 1011 202 ; 207 50 479 ; 202 312 443 ; 434 310 261 ; 707 75 204 ; 
602 265 106 ; 118 560 258 ; 313 977 367 ; 230 909 62 ; 379 674 283 ; 
366 825 64 ; 416 744 200 ; 729 919 115 ; 15 1001 278 ; 90 661 268 ; 
356 363 151 ; 916 274 473 ; 869 165 103 ; 754 635 484 ; 405 850 18 ; 
206 810 13 ; 950 559 83 ; 845 514 268 ; 822 672 497 ; 459 240 0 ; 
823 515 374 ; 73 368 382 ; 238 340 127 ; 873 624 320 ; 700 115 415 ; 
486 1008 112 ; 21 220 262 ; 536 872 344 ; 184 205 357 ; 425 577 360 ; 
940 15 259 ; 285 834 162 ; 625 521 179 ; 225 53 473 ; 340 340 15 ; 
325 8 383 ; 545 906 345 ; 393 706 103 ; 598 328 123 ; 151 772 479 ; 
166 651 496 ; 1000 330 473 ; 497 81 86 ; 551 71 235 ; 891 934 256 ; 
900 449 21 ; 782 450 394 ; 465 473 107 ; 793 8 280 ; 541 752 410 ; 
168 896 201 ; 498 957 323 ; 580 279 364 ; 651 226 301 ; 561 399 456 ; 
1010 912 96 ; 436 726 332 ; 910 61 426 ; 918 813 427 ; 646 115 340 ; 
519 592 377 ; 452 211 298 ; 732 831 468 ; 958 925 68 ; 333 545 423 ; 
221 33 196 ; 947 421 326 ; 1008 568 307 ; 797 155 445 ; 912 536 11 ; 
480 433 42 ; 692 499 329 ; 499 40 401 ; 400 160 493 ; 946 932 340 ; 
979 216 401 ; 377 511 199 ; 945 218 478 ; 76 835 495 ; 612 322 232 ; 
22 456 453 ; 521 85 5 ; 561 167 417 ; 722 980 53 ; 630 704 65 ; 
846 762 263 ; 333 17 95 ; 551 219 392 ; 362 406 285 ; 685 367 349 ; 
117 216 130 ; 203 545 152 ; 370 543 65 ; 326 16 191 ; 7 913 97 ; 
769 709 355 ; 786 460 217 ; 1005 588 455 ; 388 637 430 ; 755 762 237 ; 
971 476 238 ; 492 212 123 ; 11 470 426 ; 27 265 48 ; 941 782 483 ; 
626 905 70 ; 62 850 63 ; 650 105 365 ; 263 936 250 ; 1 81 418 ; 
478 935 453 ; 690 882 456 ; 136 9 137 ; 401 529 412 ; 159 352 336 ; 
40 182 177 ; 891 781 495 ; 996 118 441 ; 908 461 203 ; 989 167 122 ; 
900 629 343 ; 759 13 53 ; 768 914 404 ; 273 803 460 ; 626 719 118 ; 
808 552 121 ; 566 1011 30 ; 684 508 61 ; 121 655 169 ; 289 41 286 ; 
918 452 203 ; 931 318 104 ; 822 874 19 ; 601 542 171 ; 296 612 312 ; 
848 842 278 ; 835 88 435 ; 319 225 401 ; 974 334 41 ; 1015 328 107 ; 
443 288 16 ; 761 124 426 ; 611 719 89 ; 130 34 199 ; 742 646 464 ; 
560 861 424 ; 648 860 404 ; 873 401 103 ; 184 626 110 ; 512 973 332 ; 
800 585 391 ; 924 91 131 ; 619 529 456 ; 653 764 476 ; 276 577 446 ; 
113 685 40 ; 973 618 381 ; 350 361 497 ; 976 424 303 ; 926 436 467 ; 
487 440 127 ; 579 887 340 ; 84 47 208 ; 848 843 252 ; 401 745 493 ; 
63 366 97 ; 681 547 194 ; 18 352 367 ; 442 7 221 ; 879 870 298 ; 
295 198 204 ; 158 326 455 ; 205 354 182 ; 25 1002 122 ; 770 256 327 ; 
112 809 260 ; 659 452 51 ; 1012 43 252 ; 1019 1009 319 ; 866 903 65 ; 
40 699 324 ; 366 982 487 ; 720 821 185 ; 699 743 431 ; 955 490 496 ; 
740 639 178 ; 168 850 223 ; 212 719 158 ; 197 606 334 ; 76 935 202 ; 
775 96 432 ; 733 575 152 ; 530 189 54 ; 250 8 346 ; 740 876 485 ; 
355 466 260 ; 182 169 325 ; 901 532 373 ; 483 882 273 ; 394 204 246 ; 
490 392 442 ; 42 620 213 ; 231 190 219 ; 239 481 141 ; 91 446 103 ; 
557 343 432 ; 727 980 387 ; 235 761 373 ; 93 755 142 ; 298 945 365 ; 
690 188 460 ; 287 205 46 ; 477 956 316 ; 958 190 307 ; 381 697 98 ; 
724 921 37 ; 680 477 155 ; 417 214 174 ; 148 853 253 ; 70 950 78 ; 
258 418 204 ; 463 377 211 ; 396 377 454 ; 586 609 135 ; 259 55 158 ; 
157 617 303 ; 634 712 35 ; 848 510 179 ; 677 543 460 ; 604 669 301 ; 
1022 70 447 ; 375 161 193 ; 753 539 252 ; 338 370 48 ; 393 136 370 ; 
1010 283 26 ; 698 130 95 ; 184 657 169 ; 727 578 269 ; 373 647 391 ; 
443 786 455 ; 604 159 217 ; 119 1019 77 ; 489 228 202 ; 626 22 252 ; 
909 76 473 ; 16 287 108 ; 673 108 310 ; 227 778 107 ; 874 77 102 ; 
636 1004 23 ; 795 905 130 ; 791 158 282 ; 1019 164 285 ; 17 508 127 ; 
94 222 465 ; 381 946 102 ; 490 320 130 ; 244 903 376 ; 321 166 3 ; 
301 825 110 ; 182 904 198 ; 341 562 110 ; 505 340 97 ; 1014 607 264 ; 
212 476 129 ; 134 230 71 ; 454 1 37 ; 334 445 195 ; 500 92 315 ; 
301 614 492 ; 181 749 329 ; 744 655 395 ; 60 328 268 ; 667 1020 2 ; 
119 705 200 ; 349 485 336 ; 350 646 18 ; 795 273 260 ; 888 144 318 ; 
478 336 498 ; 203 829 472 ; 858 480 425 ; 162 473 437 ; 158 971 349 ; 
864 435 436 ; 325 111 15 ; 971 945 189 ; 220 185 439 ; 364 784 143 ; 
700 858 155 ; 505 210 437 ; 985 768 337 ; 434 21 167 ; 381 359 26 ; 
816 339 176 ; 927 439 100 ; 848 888 73 ; 10 663 280 ; 794 210 268 ; 
628 645 408 ; 839 535 136 ; 583 628 337 ; 604 555 407 ; 963 645 409 ; 
279 894 403 ; 718 982 87 ; 582 372 151 ; 221 732 463 ; 432 289 285 ; 
53 209 287 ; 588 830 468 ; 192 931 299 ; 748 994 58 ; 369 468 182 ; 
239 323 226 ; 198 994 421 ; 570 545 339 ; 278 945 169 ; 567 330 146 ; 
777 510 470 ; 583 294 92 ; 490 917 4 ; 461 75 341 ; 929 861 325 ; 
228 563 278 ; 198 544 82 ; 744 219 336 ; 665 476 114 ; 995 955 196 ; 
481 841 56 ; 775 781 249 ; 668 286 264 ; 743 1007 290 ; 581 428 87 ; 
120 218 212 ; 665 248 272 ; 884 476 151 ; 337 250 203 ; 268 303 392 ; 
85 923 3 ; 867 272 177 ; 129 204 380 ; 112 626 265 ; 540 486 240 ; 
758 250 489 ; 1007 243 238 ; 459 434 111 ; 710 345 447 ; 1013 921 416 ; 
912 444 368 ; 160 449 70 ; 364 206 169 ; 990 631 466 ; 452 775 358 ; 
703 477 466 ; 946 299 272 ; 356 786 211 ; 701 109 267 ; 598 794 257 ; 
18 722 230 ; 468 736 242 ; 674 593 394 ; 281 579 450 ; 32 677 52 ; 
509 291 141 ; 808 664 428 ; 570 1019 38 ; 680 810 122 ; 450 287 235 ; 
148 777 269 ; 885 131 79 ; 454 669 195 ; 10 547 349 ; 687 392 454 ; 
979 689 251 ; 619 665 284 ; 614 563 89 ; 401 817 127 ; 688 748 199 ; 
442 253 369 ; 573 800 210 ; 219 792 291 ; 766 433 281 ; 134 356 499 ; 
823 311 155 ; 464 775 214 ; 3 0 449 ; 820 820 423 ; 544 271 256 ; 
797 173 205 ; 574 223 499 ; 342 134 84 ; 775 499 355 ; 107 875 410 ; 
418 914 152 ; 170 908 224 ; 170 497 52 ; 990 700 176 ; 238 281 68 ; 
411 550 113 ; 634 237 430 ; 768 497 452 ; 243 977 374 ; 94 175 250 ; 
1008 531 181 ; 892 687 272 ; 365 284 306 ; 42 908 224 ; 323 304 155 ; 
873 245 445 ; 86 984 20 ; 583 248 386 ; 536 879 390 ; 711 237 109 ; 
219 726 100 ; 906 610 368 ; 166 664 425 ; 50 889 274 ; 355 56 340 ; 
600 485 379 ; 560 301 448 ; 809 751 46 ; 664 945 258 ; 901 358 142 ; 
603 890 110 ; 190 383 313 ; 854 768 327 ; 719 494 206 ; 775 263 328 ; 
236 354 411 ; 537 295 420 ; 264 321 284 ; 185 931 309 ; 544 30 17 ; 
410 864 214 ; 793 893 230 ; 537 804 40 ; 8 882 302 ; 271 1011 390 ; 
625 470 309 ; 920 530 358 ; 218 127 55 ; 125 532 140 ; 155 578 1 ; 
1019 500 101 ; 888 2 392 ; 669 718 241 ; 527 241 75 ; 514 483 371 ; 
985 476 118 ; 491 706 47 ; 618 450 312 ; 127 458 254 ; 705 651 187 ; 
181 365 255 ; 184 489 66 ; 902 382 287 ; 119 813 96 ; 602 228 347 ; 
55 938 426 ; 761 226 391 ; 187 434 14 ; 645 860 81 ; 273 387 252 ; 
638 70 45 ; 103 773 174 ; 485 316 74 ; 275 528 285 ; 503 243 460 ; 
418 473 491 ; 644 664 186 ; 54 323 255 ; 914 600 459 ; 277 1004 84 ; 
348 65 337 ; 97 331 467 ; 413 782 422 ; 941 87 92 ; 160 535 51 ; 
634 562 374 ; 274 644 328 ; 597 464 460 ; 173 471 434 ; 153 99 356 ; 
218 1 414 ; 550 540 214 ; 308 159 323 ; 395 263 28 ; 930 642 277 ; 
469 500 269 ; 89 777 431 ; 553 673 154 ; 0 624 451 ; 100 464 257 ; 
101 582 322 ; 641 24 193 ; 800 587 395 ; 39 539 355 ; 681 408 210 ; 
158 438 68 ; 935 77 273 ; 584 1015 363 ; 184 503 444 ; 649 164 125 ; 
207 1002 341 ; 232 11 430 ; 819 594 63 ; 335 461 460 ; 743 723 267 ; 
157 892 185 ; 235 505 439 ; 226 208 358 ; 729 465 402 ; 893 722 359 ; 
872 55 84 ; 883 513 47 ; 454 588 111 ; 915 440 451 ; 615 332 94 ; 
483 905 373 ; 988 612 355 ; 173 230 174 ; 638 432 484 ; 336 819 238 ; 
391 831 43 ; 904 27 223 ; 468 478 175 ; 909 725 441 ; 217 283 80 ; 
98 585 303 ; 710 20 178 ; 940 714 183 ; 348 610 180 ; 144 212 466 ; 
975 708 314 ; 1002 27 269 ; 457 230 409 ; 158 887 297 ; 442 412 450 ; 
3 551 431 ; 23 150 481 ; 737 737 187 ; 323 473 259 ; 536 847 100 ; 
220 533 68 ; 247 610 451 ; 478 567 94 ; 341 992 163 ; 753 279 257 ; 
281 806 175 ; 431 408 438 ; 144 719 253 ; 617 947 498 ; 440 499 158 ; 
973 195 470 ; 559 866 478 ; 102 492 461 ; 70 575 39 ; 349 817 209 ; 
132 476 198 ; 540 139 163 ; 235 848 134 ; 158 247 442 ; 657 993 323 ; 
852 227 391 ; 695 705 164 ; 163 406 207 ; 739 586 485 ; 532 83 92 ; 
1008 333 33 ; 123 865 389 ; 972 803 493 ; 195 886 385 ; 164 561 175 ; 
391 677 317 ; 72 741 377 ; 478 341 160 ; 40 42 112 ; 123 838 395 ; 
457 960 119 ; 298 189 459 ; 77 983 207 ; 963 988 319 ; 501 127 90 ; 
154 948 234 ; 895 574 369 ; 212 894 473 ; 255 354 211 ; 69 553 272 ; 
5 260 67 ; 195 976 296 ; 154 791 474 ; 118 554 88 ; 245 512 79 ; 
170 634 272 ; 744 123 262 ; 614 708 362 ; 969 747 130 ; 498 827 53 ; 
759 7 75 ; 711 667 228 ; 478 602 403 ; 8 614 93 ; 520 565 387 ; 
130 1018 109 ; 253 600 279 ; 961 54 423 ; 684 745 257 ; 488 666 394 ; 
495 657 377 ; 138 654 324 ; 740 845 399 ; 330 167 457 ; 896 630 169 ; 
890 315 477 ; 466 170 115 ; 521 769 304 ; 242 959 369 ; 908 69 21 ; 
542 702 385 ; 172 46 176 ; 1017 101 191 ; 160 634 459 ; 791 151 218 ; 
82 188 398 ; 253 355 420 ; 1022 775 102 ; 957 108 103 ; 3 126 405 ; 
705 631 210 ; 752 608 296 ; 853 723 40 ; 464 554 197 ; 615 716 362 ; 
804 750 421 ; 135 650 483 ; 911 1017 32 ; 1019 880 491 ; 121 986 116 ; 
753 976 303 ; 337 484 133 ; 36 164 225 ; 590 861 34 ; 283 695 314 ; 
9 296 438 ; 660 1004 30 ; 653 940 57 ; 509 875 176 ; 471 744 256 ; 
423 615 169 ; 907 168 302 ; 47 473 331 ; 909 608 299 ; 580 182 370 ; 
877 372 57 ; 857 342 462 ; 773 448 6 ; 625 440 291 ; 345 428 125 ; 
960 538 60 ; 105 376 160 ; 578 552 71 ; 162 763 483 ; 345 541 296 ; 
717 602 20 ; 36 673 429 ; 484 379 6 ; 924 739 488 ; 329 584 161 ; 
867 900 346 ; 219 616 494 ; 771 216 91 ; 511 887 214 ; 28 419 396 ; 
631 531 453 ; 280 497 175 ; 659 295 91 ; 374 867 111 ; 958 16 411 ; 
835 534 100 ; 427 989 347 ; 643 524 455 ; 506 638 310 ; 925 915 9 ; 
433 512 126 ; 930 827 217 ; 201 154 393 ; 45 989 364 ; 61 701 71 ; 
596 741 341 ; 561 625 236 ; 61 728 472 ; 700 578 415 ; 591 940 402 ; 
79 306 431 ; 907 303 376 ; 37 580 314 ; 3 492 456 ; 704 779 141 ; 
421 1001 30 ; 22 9 470 ; 750 469 455 ; 305 549 281 ; 221 111 161 ; 
527 598 492 ; 830 495 431 ; 386 297 154 ; 878 301 104 ; 634 350 39 ; 
611 461 223 ; 620 143 108 ; 66 387 339 ; 615 692 425 ; 726 673 326 ; 
300 221 403 ; 795 872 134 ; 69 383 384 ; 370 955 102 ; 721 506 449 ; 
158 761 495 ; 301 413 286 ; 688 88 58 ; 356 514 432 ; 5 220 27 ; 
226 148 245 ; 75 602 370 ; 458 863 277 ; 389 485 134 ; 895 986 397 ; 
632 73 58 ; 21 795 0 ; 110 90 341 ; 624 474 390 ; 844 450 426 ; 
992 127 464 ; 571 105 142 ; 410 879 97 ; 895 697 335 ; 858 886 460 ; 
931 772 159 ; 703 816 211 ; 793 138 21 ; 243 148 131 ; 693 514 467 ; 
821 886 207 ; 926 461 256 ; 781 110 451 ; 455 218 325 ; 317 714 332 ; 
66 58 422 ; 882 33 294 ; 1020 30 29 ; 144 137 390 ; 659 868 309 ; 
521 396 19 ; 982 916 412 ; 69 983 62 ; 287 436 100 ; 1001 784 307 ; 
35 967 284 ; 69 33 90 ; 99 826 77 ; 237 364 437 ; 81 145 62 ; 
477 620 81 ; 369 892 106 ; 328 43 485 ; 764 999 314 ; 525 362 281 ; 
468 42 346 ; 501 813 22 ; 303 418 167 ; 667 19 154 ; 812 789 115 ; 
409 170 221 ; 277 73 326 ; 320 958 40 ; 295 888 164 ; 657 81 173 ; 
700 275 454 ; 489 505 78 ; 907 804 191 ; 926 179 470 ; 692 814 361 ; 
862 507 469 ; 935 678 18 ; 869 194 68 ; 733 38 236 ; 814 647 124 ; 
66 757 185 ; 571 311 409 ; 352 366 238 ; 531 724 397 ; 321 725 176 ; 
829 515 488 ; 483 713 62 ; 677 165 210 ; 715 962 415 ; 339 6 493 ; 
72 731 427 ; 384 109 65 ; 750 999 281 ; 451 749 241 ; 152 401 100 ; 
667 745 325 ; 357 927 490 ; 522 1021 421 ; 460 961 306 ; 466 610 14 ; 
174 49 217 ; 283 579 221 ; 258 656 253 ; 1007 61 356 ; 384 1021 351 ; 
105 254 451 ; 9 317 423 ; 6 862 488 ; 967 37 214 ; 553 951 43 ; 
603 156 245 ; 158 457 7 ; 814 119 442 ; 875 531 289 ; 872 370 92 ; 
102 361 233 ; 419 1020 50 ; 258 1012 107 ; 295 503 114 ; 222 454 189 ; 
378 871 475 ; 835 439 102 ; 954 289 284 ; 461 398 154 ; 831 491 453 ; 
169 968 133 ; 165 526 371 ; 154 94 159 ; 657 692 417 ; 87 209 452 ; 
958 280 482 ; 373 954 372 ; 663 762 47 ; 37 360 58 ; 528 833 315 ; 
472 130 319 ; 999 554 224 ; 69 373 453 ; 761 450 495 ; 970 822 268 ; 
227 392 463 ; 157 340 30 ; 920 99 475 ; 256 813 94 ; 66 965 28 ; 
196 924 16 ; 750 28 497 ; 99 321 20 ; 549 769 341 ; 347 849 130 ; 
739 1017 224 ; 55 95 99 ; 155 570 61 ; 968 685 41 ; 909 837 193 ; 
809 493 323 ; 837 622 416 ; 135 726 342 ; 904 899 466 ; 729 809 351 ; 
722 666 303 ; 817 749 154 ; 364 990 426 ; 25 103 369 ; 862 497 189 ; 
331 956 55 ; 954 588 136 ; 656 971 10 ; 532 429 277 ; 317 436 137 ; 
983 791 6 ; 709 862 53 ; 675 988 454 ; 779 245 38 ; 252 470 251 ; 
184 581 121 ; 773 478 17 ; 720 188 83 ; 125 33 191 ; 561 782 387 ; 
329 212 449 ; 167 365 100 ; 131 312 145 ; 376 622 145 ; 846 958 288 ; 
404 107 120 ; 882 612 316 ; 46 23 441 ; 79 91 41 ; 861 690 230 ; 
49 583 212 ; 415 436 289 ; 727 997 172 ; 325 186 83 ; 259 154 447 ; 
367 374 249 ; 979 779 101 ; 1003 932 139 ; 70 782 21 ; 760 756 228 ; 
320 268 397 ; 756 109 35 ; 729 117 46 ; 916 256 237 ; 46 771 498 ; 
421 85 82 ; 176 826 313 ; 84 402 208 ; 866 23 499 ; 599 748 81 ; 
867 285 342 ; 977 896 82 ; 70 898 198 ; 327 603 391 ; 74 634 103 ; 
159 924 178 ; 986 557 31 ; 364 145 35 ; 387 737 131 ; 111 374 214 ; 
397 772 309 ; 269 466 332 ; 144 916 425 ; 747 48 408 ; 357 95 67 ; 
257 189 497 ; 814 704 153 ; 960 371 283 ; 673 123 231 ; 23 741 166 ; 
796 934 170 ; 238 970 139 ; 131 960 460 ; 179 1020 32 ; 274 383 240 ; 
464 844 285 ; 144 441 103 ; 516 0 5 ; 639 947 349 ; 356 234 190 ; 
266 656 258 ; 212 451 98 ; 148 515 440 ; 144 724 187 ; 527 656 378 ; 
348 945 321 ; 789 468 193 ; 790 806 25 ; 713 55 57 ; 947 1002 420 ; 
579 948 328 ; 6 666 294 ; 522 622 151 ; 222 710 175 ; 878 976 128 ; 
799 493 75 ; 244 474 367 ; 26 600 157 ; 81 217 431 ; 59 474 420 ; 
1007 62 440 ; 649 941 11 ; 248 1008 478 ; 958 199 96 ; 910 559 454 ; 
380 423 440 ; 854 634 191 ; 430 611 15 ; 648 354 65 ; 98 811 43 ; 
160 167 138 ; 77 102 462 ; 61 44 111 ; 261 508 379 ; 820 170 453 ; 
219 710 268 ; 854 2 440 ; 441 561 366 ; 796 123 73 ; 583 790 117 ; 
750 492 67 ; 852 178 455 ; 897 514 77 ; 381 73 82 ; 552 591 203 ; 
238 995 216 ; 240 755 47 ; 802 345 213 ; 925 366 75 ; 691 11 211 ; 
159 778 394 ; 338 682 64 ; 852 663 436 ; 925 705 285 ; 492 1009 263 ; 
463 85 471 ; 194 404 53 ; 540 554 350 ; 906 121 228 ; 918 484 457 ; 
672 406 376 ; 330 54 327 ; 993 554 69 ; 675 928 417 ; 660 659 251 ; 
745 942 171 ; 125 439 151 ; 679 177 129 ; 800 717 473 ; 260 134 312 ; 
666 242 410 ; 720 510 482 ; 251 91 189 ; 155 525 254 ; 814 860 113 ; 
732 663 321 ; 147 930 446 ; 325 368 388 ; 18 345 7 ; 153 205 84 ; 
395 983 328 ; 905 386 135 ; 997 119 271 ; 498 845 174 ; 334 199 129 ; 
997 212 399 ; 904 971 159 ; 248 831 463 ; 593 346 308 ; 799 662 126 ; 
758 215 23 ; 120 434 375 ; 239 349 360 ; 61 516 401 ; 260 837 415 ; 
472 949 153 ; 419 768 139 ; 226 735 23 ; 573 3 287 ; 211 314 52 ; 
426 777 335 ; 860 612 46 ; 186 329 18 ; 702 18 90 ; 515 206 367 ; 
440 727 167 ; 185 198 311 ; 920 573 247 ; 924 172 65 ; 214 365 422 ; 
991 332 106 ; 580 34 240 ; 909 881 165 ; 927 943 151 ; 109 42 225 ; 
837 425 368 ; 11 256 129 ; 585 507 370 ; 757 985 406 ; 98 1011 46 ; 
431 225 416 ; 465 890 392 ; 322 367 200 ; 241 30 497 ; 283 395 240 ; 
708 251 494 ; 965 548 411 ; 448 6 130 ; 409 385 379 ; 397 663 297 ; 
622 132 231 ; 488 592 74 ; 855 608 372 ; 885 509 142 ; 256 313 328 ; 
508 227 295 ; 32 978 64 ; 39 717 445 ; 424 16 185 ; 63 73 203 ; 
195 229 272 ; 787 815 498 ; 371 843 475 ; 880 170 366 ; 170 762 28 ; 
397 613 332 ; 352 149 352 ; 45 650 365 ; 61 576 92 ; 135 911 292 ; 
364 619 159 ; 155 949 463 ; 999 744 446 ; 145 371 310 ; 907 883 402 ; 
496 627 316 ; 646 880 194 ; 272 141 150 ; 848 465 463 ; 735 189 216 ; 
330 1000 207 ; 256 983 167 ; 1000 730 171 ; 347 848 294 ; 206 822 179 ; 
834 967 154 ; 690 485 366 ; 831 355 232 ; 272 270 197 ; 461 246 445 ; 
437 358 33 ; 397 833 83 ; 103 440 95 ; 951 22 192 ; 749 773 147 ; 
692 383 434 ; 153 490 440 ; 508 218 18 ; 778 219 33 ; 1 45 281 ; 
359 606 202 ; 168 473 159 ; 609 597 264 ; 631 697 167 ; 381 120 178 ; 
764 774 404 ; 230 214 308 ; 449 344 290 ; 668 281 146 ; 713 490 45 ; 
295 136 350 ; 769 220 269 ; 342 700 173 ; 15 260 382 ; 135 770 42 ; 
910 1006 183 ; 100 911 311 ; 445 969 146 ; 726 511 419 ; 193 832 179 ; 
329 130 225 ; 549 811 88 ; 226 637 57 ; 486 47 375 ; 232 89 234 ; 
215 512 486 ; 102 676 416 ; 47 46 112 ; 558 889 297 ; 367 352 356 ; 
497 529 217 ; 285 1002 138 ; 922 195 76 ; 969 755 350 ; 35 305 276 ; 
547 1015 384 ; 199 587 431 ; 245 260 77 ; 110 377 260 ; 463 197 331 ; 
992 210 130 ; 970 553 211 ; 142 421 196 ; 897 515 54 ; 178 71 372 ; 
170 883 43 ; 757 887 398 ; 1017 992 454 ; 371 121 207 ; 568 832 430 ; 
779 886 301 ; 308 413 397 ; 729 226 308 ; 220 960 294 ; 291 616 27 ; 
150 307 297 ; 13 546 239 ; 1006 984 473 ; 103 643 258 ; 935 413 97 ; 
797 646 142 ; 186 848 165 ; 412 996 101 ; 349 262 230 ; 965 425 254 ; 
249 766 449 ; 795 254 347 ; 755 499 85 ; 374 737 387 ; 788 323 218 ; 
410 477 409 ; 234 386 238 ; 206 603 472 ; 468 525 309 ; 893 667 450 ; 
636 76 323 ; 890 659 268 ; 365 232 387 ; 78 811 134 ; 401 469 69 ; 
878 38 121 ; 240 404 91 ; 843 957 230 ; 344 898 492 ; 1011 164 377 ; 
63 395 410 ; 723 876 390 ; 955 103 260 ; 743 86 493 ; 188 443 348 ; 
227 564 125 ; 631 71 264 ; 564 837 484 ; 438 786 184 ; 602 179 148 ; 
998 465 280 ; 850 364 27 ; 953 128 442 ; 15 258 258 ; 458 466 213 ; 
1022 51 25 ; 70 515 308 ; 907 196 96 ; 669 720 416 ; 848 564 79 ; 
290 396 181 ; 654 292 399 ; 782 910 205 ; 16 436 135 ; 482 705 26 ; 
534 139 449 ; 25 823 375 ; 221 91 397 ; 941 948 245 ; 482 195 262 ; 
878 44 327 ; 146 892 53 ; 33 541 479 ; 469 120 217 ; 151 739 466 ; 
290 792 220 ; 89 843 106 ; 181 965 92 ; 105 970 161 ; 300 620 351 ; 
344 95 457 ; 212 884 463 ; 754 279 46 ; 874 457 351 ; 589 651 284 ; 
357 303 411 ; 177 490 257 ; 118 702 483 ; 64 111 184 ; 684 462 481 ; 
780 271 101 ; 640 959 225 ; 920 769 310 ; 353 612 356 ; 1004 924 202 ; 
283 364 376 ; 773 93 29 ; 451 936 38 ; 563 936 300 ; 1 17 412 ; 
273 422 137 ; 208 148 301 ; 977 86 161 ; 565 778 493 ; 465 296 218 ; 
829 404 302 ; 923 870 466 ; 835 488 19 ; 748 225 55 ; 765 25 86 ; 
164 510 315 ; 312 751 348 ; 398 609 352 ; 152 362 21 ; 448 469 206 ; 
853 555 396 ; 699 925 149 ; 163 21 76 ; 388 592 12 ; 414 702 492 ; 
924 813 497 ; 652 174 481 ; 237 766 169 ; 599 288 19 ; 44 374 91 ; 
600 926 440 ; 501 260 237 ; 522 516 420 ; 90 584 323 ; 792 376 452 ; 
582 934 366 ; 756 631 406 ; 498 641 374 ; 786 24 283 ; 137 584 275 ; 
39 568 271 ; 299 381 223 ; 816 893 301 ; 376 544 375 ; 753 584 150 ; 
663 14 266 ; 270 369 188 ; 911 351 468 ; 936 571 459 ; 496 366 33 ; 
40 205 46 ; 421 645 98 ; 290 562 337 ; 834 1001 341 ; 395 507 326 ; 
409 806 135 ; 778 662 414 ; 106 251 348 ; 677 338 460 ; 19 187 64 ; 
224 174 308 ; 869 200 132 ; 407 525 421 ; 385 643 151 ; 892 113 441 ; 
674 336 96 ; 313 198 482 ; 564 330 356 ; 902 350 446 ; 65 282 35 ; 
239 710 398 ; 439 154 307 ; 965 19 336 ; 584 174 140 ; 697 140 241 ; 
9 500 493 ; 207 246 312 ; 537 771 89 ; 888 377 145 ; 146 661 439 ; 
857 963 4 ; 1011 466 92 ; 7 839 447 ; 181 595 56 ; 321 736 316 ; 
822 745 201 ; 44 405 198 ; 815 378 73 ; 169 915 323 ; 830 306 111 ; 
769 787 1 ; 212 483 154 ; 27 618 498 ; 622 695 9 ; 334 331 338 ; 
55 665 76 ; 461 1007 170 ; 839 533 102 ; 731 596 434 ; 13 523 259 ; 
800 596 465 ; 259 503 302 ; 878 397 226 ; 549 298 277 ; 880 380 243 ; 
521 784 69 ; 505 986 397 ; 14 209 390 ; 610 247 489 ; 109 454 488 ; 
705 467 178 ; 184 225 414 ; 581 196 438 ; 879 193 400 ; 236 813 357 ; 
1020 742 477 ; 983 727 463 ; 168 149 216 ; 415 411 310 ; 869 379 68 ; 
312 361 453 ; 537 120 170 ; 733 138 23 ; 927 10 8 ; 716 431 192 ; 
434 708 208 ; 138 483 188 ; 287 763 303 ; 698 33 155 ; 54 937 178 ; 
415 926 483 ; 535 597 387 ; 673 452 341 ; 683 888 422 ; 90 156 261 ; 
799 684 101 ; 258 185 364 ; 1022 668 94 ; 31 296 237 ; 969 338 228 ; 
871 226 110 ; 444 425 357 ; 896 138 89 ; 761 585 242 ; 917 934 70 ; 
578 976 280 ; 763 428 351 ; 407 18 246 ; 703 919 384 ; 18 471 223 ; 
244 77 36 ; 669 99 72 ; 808 656 56 ; 369 862 161 ; 279 728 246 ; 
231 685 355 ; 659 416 345 ; 677 406 256 ; 573 394 96 ; 20 414 315 ; 
